date,exchange_rate
2009-01-09,0.0001
2010-07-19,0.0852
2010-12-31,0.29
2011-01-03,0.3
2011-01-09,0.32
2011-02-09,0.95
2011-06-08,28.5
2011-09-01,5.5
2011-12-22,3.9
2012-01-11,7.1
2012-05-13,4.85
2012-08-15,9.9
2012-11-28,12.4
2013-01-01,13.5
2013-04-10,165
2013-07-01,75
2013-11-29,1100
2014-01-01,770
2014-06-01,600
2014-12-31,310
2015-06-01,230
2015-12-31,430
2016-06-01,540
2016-12-31,960
2017-06-01,2500
2017-09-01,4800
2017-12-17,19700
2018-03-01,10800
2018-06-01,7500
2018-12-31,3700
2019-06-26,12900
2019-12-31,7200
2020-03-13,5000
2020-12-31,29000
2021-04-14,64800
2021-07-20,29800
2021-11-10,68900
2022-01-01,46200
2022-06-18,20300
2022-11-21,16200
